N,Должность,Язык.программирования,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Еще.студент,Уровень.английского,Дата.заполнения,User.Agent,exp,current_job_exp,salary,avg
7534,Software Engineer,PHP,4,1,2050,850,Львов,до 50 человек,Аутсорсинговая,мужской,28,Высшее,False,ниже среднего,01/07/2017 09:37:52,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",4.0,1.0,2050,
7536,Senior Software Engineer,C++,7,4,2840,540,Львов,свыше 1000 человек,Аутсорсинговая,мужской,27,Два высших,False,выше среднего,01/07/2017 10:54:41,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/M4B30Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",7.0,4.0,2840,
7537,Software Engineer,C++,1,1,600,0,Харьков,до 1000 человек,Продуктовая,мужской,22,Незаконченное высшее,True,средний,01/07/2017 11:20:54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,600,
7539,Software Engineer,C#/.NET,3,1,2000,0,Харьков,до 1000 человек,Аутсорсинговая,мужской,33,Высшее,False,ниже среднего,01/07/2017 11:37:21,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",3.0,1.0,2000,
7542,Junior Software Engineer,JavaScript,0.5,0.5,500,300,Львов,до 50 человек,Аутстаффинговая,мужской,22,Высшее,False,ниже среднего,01/07/2017 12:33:01,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",0.5,0.5,500,
7544,Junior Software Engineer,Java,0.5,меньше 3 месяцев,700,700,Киев,до 200 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,True,выше среднего,01/07/2017 13:46:42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.5,0.0,700,
7545,Junior Software Engineer,PHP,10 и более лет,2,500,300,Киев,до 1000 человек,Другая,мужской,30,Высшее,False,средний,01/07/2017 14:18:33,"Mozilla/5.0 (Linux; Android 4.4.2; U65GT Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Safari/537.36",10.0,2.0,500,
7546,Senior Software Engineer,SQL,7,2,2700,200,Киев,до 200 человек,Аутсорсинговая,мужской,31,Высшее,False,средний,01/07/2017 14:58:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",7.0,2.0,2700,
7554,Junior Software Engineer,PHP,1.5,меньше 3 месяцев,470,200,Киев,до 10 человек,Продуктовая,мужской,22,Высшее,False,ниже среднего,01/07/2017 21:42:35,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36 OPR/46.0.2597.32",1.5,0.0,470,
7557,Senior Software Engineer,Java,5,2,3500,500,Львов,до 50 человек,Аутсорсинговая,мужской,25,Высшее,False,выше среднего,01/07/2017 22:31:29,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36",5.0,2.0,3500,
7559,Junior Software Engineer,Java,меньше 3 месяцев,меньше 3 месяцев,600,0,Киев,до 1000 человек,Аутсорсинговая,мужской,24,Среднее,False,средний,01/07/2017 22:59:44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.0,0.0,600,
7560,Software Engineer,JavaScript,4,1,2000,500,Киев,до 1000 человек,Продуктовая,мужской,24,Высшее,False,выше среднего,01/07/2017 23:00:40,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) LinkedIn/9.7.6026 Version/10.0 Mobile/14F89 Safari/602.1",4.0,1.0,2000,
7564,Software Engineer,JavaScript,0.25,2,1050,500,Киев,до 200 человек,Аутсорсинговая,мужской,21,Высшее,False,средний,01/07/2017 23:27:46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.25,2.0,1050,
7565,Software Engineer,C#/.NET,1.5,1.5,1000,300,Харьков,свыше 1000 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,True,средний,01/07/2017 23:36:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1000,
7566,Software Engineer,PHP,5,0.5,1000,200,Киев,до 50 человек,Аутсорсинговая,мужской,23,Техникум / Колледж,False,средний,01/07/2017 23:37:06,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,0.5,1000,
7570,Technical Lead,JavaScript,5,1.5,4370,620,Киев,свыше 1000 человек,Аутсорсинговая,мужской,27,Высшее,False,выше среднего,02/07/2017 00:01:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.5,4370,
7571,Junior Software Engineer,Java,0.5,0.5,300,0,Винница,до 10 человек,Продуктовая,мужской,19,Высшее,True,средний,02/07/2017 00:38:17,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.5,0.5,300,
7572,System Architect,C#/.NET,6,9,3600,400,Киев,до 50 человек,Продуктовая,мужской,38,Высшее,False,продвинутый,02/07/2017 02:49:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063",6.0,9.0,3600,
7573,Software Engineer,PHP,5,1,200,-50,Киев,до 200 человек,Продуктовая,мужской,35,Высшее,False,средний,02/07/2017 07:32:35,"Mozilla/5.0 (Linux; Android 7.0; Nexus 6 Build/NBD91P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36",5.0,1.0,200,
7574,Senior Software Engineer,C++,10 и более лет,4,2700,300,Киев,до 1000 человек,Аутсорсинговая,мужской,39,Кандидат,False,выше среднего,02/07/2017 09:04:17,"Mozilla/5.0 (Linux; Android 5.0; SM-N900 Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,4.0,2700,
7575,Software Engineer,Java,1.5,меньше 3 месяцев,1200,500,Киев,свыше 1000 человек,Аутсорсинговая,мужской,23,Высшее,True,выше среднего,02/07/2017 09:32:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.5,0.0,1200,
7576,Software Engineer,JavaScript,2,2,1500,1000,Харьков,до 200 человек,Аутсорсинговая,мужской,33,Высшее,False,средний,02/07/2017 09:34:28,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",2.0,2.0,1500,
7577,Software Engineer,PHP,2,1.5,1800,500,Днепр,до 10 человек,Аутсорсинговая,мужской,29,Высшее,False,ниже среднего,02/07/2017 10:06:43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",2.0,1.5,1800,
7579,Junior Software Engineer,Ruby/Rails,0.25,0.25,640,370,Днепр,до 50 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,02/07/2017 11:24:44,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.25,0.25,640,
7580,Junior Software Engineer,Swift,0.5,меньше 3 месяцев,500,0,Днепр,до 10 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,True,средний,02/07/2017 11:33:46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13) AppleWebKit/604.1.25 (KHTML, like Gecko) Version/11.0 Safari/604.1.25",0.5,0.0,500,
7581,Software Engineer,C,1,1,750,150,Харьков,до 1000 человек,Продуктовая,мужской,24,Высшее,False,ниже среднего,02/07/2017 11:35:35,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,750,
7588,Software Engineer,Other,5,3,2200,400,Киев,до 200 человек,Другая,мужской,27,Высшее,False,выше среднего,02/07/2017 12:58:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,3.0,2200,
7589,Senior Software Engineer,JavaScript,7,1,3500,500,Киев,до 200 человек,Продуктовая,мужской,27,Высшее,False,ниже среднего,02/07/2017 13:11:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,1.0,3500,
7592,Junior Software Engineer,JavaScript,1,1,850,600,Львов,до 50 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,True,выше среднего,02/07/2017 15:00:45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,850,
7594,Software Engineer,PHP,3,1,750,210,Киев,до 10 человек,Другая,мужской,21,Высшее,False,выше среднего,02/07/2017 15:15:45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",3.0,1.0,750,
7595,Software Engineer,C#/.NET,1.5,0.5,600,0,Киев,до 200 человек,Аутсорсинговая,мужской,22,Высшее,False,выше среднего,02/07/2017 15:22:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.5,0.5,600,
7597,Senior Software Engineer,C,3,3,1500,300,Киев,до 50 человек,Продуктовая,мужской,25,Высшее,False,выше среднего,02/07/2017 15:56:57,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",3.0,3.0,1500,
7598,Software Engineer,Swift,2,1,2300,600,Киев,до 10 человек,Стартап,мужской,36,Два высших,False,средний,02/07/2017 16:17:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,1.0,2300,
7599,Technical Lead,C#/.NET,5,1,4100,0,Харьков,до 10 человек,Другая,мужской,28,Высшее,False,продвинутый,02/07/2017 16:44:01,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,1.0,4100,
7600,Senior Software Engineer,Objective-C,4,2,2800,300,Киев,до 1000 человек,Продуктовая,мужской,23,Высшее,False,средний,02/07/2017 16:45:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/603.3.6 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.6",4.0,2.0,2800,
7601,Software Engineer,Swift,2,меньше 3 месяцев,1600,800,Киев,до 10 человек,Продуктовая,мужской,22,Незаконченное высшее,False,средний,02/07/2017 16:59:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",2.0,0.0,1600,
7604,Software Engineer,Swift,2,меньше 3 месяцев,1500,500,Киев,до 50 человек,Аутсорсинговая,мужской,21,Высшее,False,выше среднего,02/07/2017 18:36:24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",2.0,0.0,1500,
7607,Software Engineer,JavaScript,5,3,500,100,Другой,до 10 человек,Аутсорсинговая,мужской,25,Среднее,False,элементарный,02/07/2017 19:11:20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,3.0,500,
7608,Junior Software Engineer,JavaScript,1,1,550,150,Киев,до 10 человек,Продуктовая,мужской,25,Высшее,False,выше среднего,02/07/2017 19:14:06,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,550,
7616,Technical Lead,C#/.NET,7,1.5,5000,2000,Киев,до 50 человек,Аутсорсинговая,мужской,23,Среднее,False,средний,02/07/2017 21:41:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,1.5,5000,
7617,Software Engineer,Java,4,1.5,150,0,Харьков,до 200 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,02/07/2017 21:49:54,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.5,150,
7618,System Architect,Java,10 и более лет,2,5000,0,Львов,свыше 1000 человек,Аутсорсинговая,мужской,36,Высшее,False,выше среднего,02/07/2017 21:54:00,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G900FD Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",10.0,2.0,5000,
7620,Junior Software Engineer,JavaScript,6,0.25,350,50,Львов,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,False,средний,02/07/2017 22:03:12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",6.0,0.25,350,
7621,Junior Software Engineer,Java,0.5,0.5,300,0,Львов,до 1000 человек,Продуктовая,мужской,20,Незаконченное высшее,True,средний,02/07/2017 22:13:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,300,
7625,Senior Software Engineer,JavaScript,6,2,3800,500,Харьков,до 200 человек,Продуктовая,мужской,29,Высшее,False,средний,02/07/2017 22:45:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",6.0,2.0,3800,
7626,Technical Lead,C#/.NET,10 и более лет,9,3400,0,Киев,до 1000 человек,Аутсорсинговая,мужской,49,Высшее,False,выше среднего,02/07/2017 22:46:03,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,9.0,3400,
7627,Software Engineer,C#/.NET,1.5,меньше 3 месяцев,800,500,Киев,до 10 человек,Другая,мужской,25,Высшее,False,ниже среднего,02/07/2017 22:59:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.5,0.0,800,
7628,Software Engineer,JavaScript,2,0.5,800,200,Киев,до 10 человек,Стартап,мужской,24,Высшее,False,выше среднего,02/07/2017 23:06:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,0.5,800,
7629,Junior Software Engineer,JavaScript,1,1,550,230,Киев,до 10 человек,Продуктовая,мужской,32,Два высших,False,ниже среднего,02/07/2017 23:15:39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,550,
7633,Software Engineer,Java,3,меньше 3 месяцев,1500,0,Харьков,до 50 человек,Продуктовая,мужской,25,Высшее,False,средний,03/07/2017 01:05:20,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",3.0,0.0,1500,
7634,Senior Software Engineer,JavaScript,5,1.5,2850,0,Львов,до 10 человек,Продуктовая,мужской,24,Высшее,False,выше среднего,03/07/2017 01:09:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.5,2850,
7635,Junior Software Engineer,PHP,меньше 3 месяцев,0.5,400,0,Харьков,до 1000 человек,Аутсорсинговая,мужской,23,Незаконченное высшее,True,элементарный,03/07/2017 01:20:27,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.0,0.5,400,
7638,Senior Software Engineer,PHP,5,5,1700,0,Николаев,до 1000 человек,Аутсорсинговая,мужской,28,Высшее,False,средний,03/07/2017 02:29:52,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,5.0,1700,
7639,Senior Software Engineer,Ruby/Rails,4,4,3000,500,Львов,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,False,продвинутый,03/07/2017 03:43:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",4.0,4.0,3000,
7641,Technical Lead,PHP,10 и более лет,6,2000,400,Херсон,до 200 человек,Продуктовая,мужской,31,Высшее,False,средний,03/07/2017 09:13:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,6.0,2000,
7642,Junior Software Engineer,PHP,1.5,1,700,300,Львов,до 50 человек,Стартап,мужской,23,Высшее,False,средний,03/07/2017 09:22:15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,700,
7645,Senior Software Engineer,Java,9,1.5,4200,200,Киев,до 1000 человек,Продуктовая,мужской,33,Высшее,False,выше среднего,03/07/2017 10:29:27,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",9.0,1.5,4200,
7649,Senior Software Engineer,C#/.NET,7,1,3500,0,Харьков,свыше 1000 человек,Другая,мужской,30,Высшее,False,выше среднего,03/07/2017 11:04:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,1.0,3500,
7650,Junior Software Engineer,PHP,0.25,0.25,400,0,Харьков,до 1000 человек,Аутсорсинговая,мужской,24,Высшее,False,выше среднего,03/07/2017 11:21:31,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.25,0.25,400,
7651,Software Engineer,JavaScript,6,1.5,800,400,Днепр,до 50 человек,Аутсорсинговая,мужской,29,Высшее,False,средний,03/07/2017 11:24:10,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",6.0,1.5,800,
7652,Junior Software Engineer,Swift,1.5,1,400,130,Ивано-Франковск,до 50 человек,Аутсорсинговая,мужской,24,Высшее,False,ниже среднего,03/07/2017 11:35:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.5,1.0,400,
7658,Senior Software Engineer,Java,4,0.5,1300,0,Запорожье,до 50 человек,Аутсорсинговая,мужской,23,Высшее,False,средний,03/07/2017 12:14:05,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,4.0,0.5,1300,
7659,Software Engineer,Java,2,меньше 3 месяцев,1500,670,Другой,до 10 человек,Продуктовая,мужской,28,Среднее,False,средний,03/07/2017 12:20:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36 OPR/46.0.2597.32",2.0,0.0,1500,
7663,Technical Lead,Ruby/Rails,5,5,3000,500,Киев,до 50 человек,Аутсорсинговая,мужской,30,Высшее,False,средний,03/07/2017 12:55:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,5.0,3000,
7666,Software Engineer,Java,7,1.5,1600,600,Харьков,до 1000 человек,Аутсорсинговая,мужской,31,Высшее,False,средний,03/07/2017 13:13:49,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0,7.0,1.5,1600,
7667,Junior Software Engineer,C#/.NET,2,1.5,1700,600,Киев,до 200 человек,Аутстаффинговая,мужской,20,Незаконченное высшее,True,выше среднего,03/07/2017 13:14:56,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 YaBrowser/17.6.1.744 Yowser/2.5 Safari/537.36",2.0,1.5,1700,
7668,Software Engineer,C++,3,3,1100,100,Киев,до 200 человек,Продуктовая,мужской,32,Высшее,False,средний,03/07/2017 13:15:46,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",3.0,3.0,1100,
7671,Senior Software Engineer,JavaScript,4,1,2500,300,Киев,свыше 1000 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,03/07/2017 13:26:48,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",4.0,1.0,2500,
7672,Senior Software Engineer,Swift,3,2,3300,700,Киев,свыше 1000 человек,Аутсорсинговая,мужской,35,Высшее,False,средний,03/07/2017 13:33:48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,2.0,3300,
7673,Software Engineer,C#/.NET,3,1,1200,300,Харьков,до 200 человек,Аутсорсинговая,мужской,29,Высшее,False,средний,03/07/2017 13:40:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",3.0,1.0,1200,
7674,Senior Software Engineer,PHP,10 и более лет,8,2850,0,Киев,до 200 человек,Аутстаффинговая,мужской,36,Высшее,False,выше среднего,03/07/2017 13:47:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,8.0,2850,
7682,Software Engineer,JavaScript,10 и более лет,2,1400,0,Черновцы,до 10 человек,Стартап,мужской,45,Высшее,False,средний,03/07/2017 15:14:01,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2882.0 Safari/537.36",10.0,2.0,1400,
7683,Software Engineer,C#/.NET,4,2,2500,350,Харьков,до 50 человек,Аутсорсинговая,мужской,23,Высшее,False,выше среднего,03/07/2017 15:17:34,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",4.0,2.0,2500,
7685,Software Engineer,Java,1,1,1200,1200,Киев,до 200 человек,Аутстаффинговая,мужской,24,Высшее,False,средний,03/07/2017 15:22:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,1200,
7686,Junior Software Engineer,Java,меньше 3 месяцев,меньше 3 месяцев,380,0,Николаев,до 10 человек,Продуктовая,мужской,20,Среднее,True,ниже среднего,03/07/2017 15:26:20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",0.0,0.0,380,
7688,Junior Software Engineer,Java,1,1,600,400,Другой,до 10 человек,Аутсорсинговая,мужской,23,Два высших,False,средний,03/07/2017 15:53:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,600,
7692,Software Engineer,JavaScript,3,0.5,1500,300,Харьков,до 50 человек,Продуктовая,мужской,24,Высшее,False,средний,03/07/2017 16:15:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",3.0,0.5,1500,
7695,Software Engineer,PHP,7,меньше 3 месяцев,1600,300,Львов,до 1000 человек,Продуктовая,мужской,29,Два высших,False,ниже среднего,03/07/2017 16:20:34,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,7.0,0.0,1600,
7696,Junior Software Engineer,Java,1,1,385,0,Киев,до 10 человек,Стартап,мужской,22,Высшее,False,средний,03/07/2017 16:21:58,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,385,
7697,Senior Software Engineer,Java,5,5,2350,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,False,выше среднего,03/07/2017 16:25:15,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36 OPR/46.0.2597.32",5.0,5.0,2350,
7701,Junior Software Engineer,PHP,1,0.5,375,325,Харьков,до 50 человек,Продуктовая,мужской,20,Незаконченное высшее,True,средний,03/07/2017 17:44:40,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,0.5,375,
7702,Software Engineer,C#/.NET,2,меньше 3 месяцев,1000,500,Днепр,до 50 человек,Аутсорсинговая,мужской,25,Высшее,False,ниже среднего,03/07/2017 17:47:22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,0.0,1000,
